game_id,minute,home_team_possession,away_team_possession
1729243,90,45.2,54.8
1729243,90+10,45.2,54.8
1640705,10,62.8,37.2
1640705,20,65.5,34.5
1640705,30,64.1,35.9
1640705,40,60.0,40.0
1640705,45+1,59.5,40.5
1640705,50,56.9,43.1
1640705,60,55.9,44.1
1640705,70,55.9,44.1
1640705,80,55.4,44.6
1640705,90,57.3,42.7
1640705,90+3,57.8,42.2
1729384,10,37.1,62.9
1729384,20,60.1,39.9
1729384,30,62.0,38.0
1729384,40,59.0,41.0
1729384,45+3,59.9,40.1
1729384,50,64.2,35.8
1729384,60,59.5,40.5
1729384,70,59.4,40.6
1729384,80,57.3,42.7
1729384,90,57.5,42.5
1729384,90+6,57.5,42.5
1729534,10,54.7,45.3
1729534,20,49.4,50.6
1729534,30,56.6,43.4
1729534,40,53.7,46.3
1729534,45+5,51.5,48.5
1729534,50,51.5,48.5
1729534,60,53.4,46.6
1729534,70,52.9,47.1
1729534,80,50.3,49.7
1729534,90,48.5,51.5
1729534,90+10,48.0,52.0
1640806,10,65.7,34.3
1640806,20,65.7,34.3
1640806,30,59.7,40.3
1640806,40,56.6,43.4
1640806,45+5,58.8,41.2
1640806,45+7,59.1,40.9
1640806,50,59.1,40.9
1640806,60,58.9,41.1
1640806,70,58.7,41.3
1640806,80,59.6,40.4
1640806,90,58.9,41.1
1640806,90+9,57.8,42.2
1729441,10,63.7,36.3
1729441,20,59.7,40.3
1729441,30,59.0,41.0
1729441,40,54.8,45.2
1729441,45+1,55.0,45.0
1729441,50,54.1,45.9
1729441,60,54.4,45.6
1729441,70,55.0,45.0
1729441,80,56.4,43.6
1729441,90,53.3,46.7
1729441,90+10,53.4,46.6
1640797,10,72.9,27.1
1640797,20,56.1,43.9
1640797,30,55.6,44.4
1640797,40,56.3,43.7
1640797,45+2,56.1,43.9
1640797,50,58.7,41.3
1640797,60,56.5,43.5
1640797,70,55.8,44.2
1640797,80,56.1,43.9
1640797,90,57.4,42.6
1640797,90+4,57.2,42.8
1640760,10,33.3,66.7
1640760,20,37.9,62.1
1640760,30,48.9,51.1
1640760,40,52.6,47.4
1640760,45+3,54.2,45.8
1640760,50,54.3,45.7
1640760,60,53.9,46.1
1640760,70,54.7,45.3
1640760,80,53.8,46.2
1640760,90,53.5,46.5
1640760,90+5,53.8,46.2
1640884,10,46.3,53.7
